,user,item,rate
0,0,0,3.0
1,0,1,1.5
2,0,2,1.5
3,0,3,1.5
4,0,4,3.0
5,0,5,1.0
6,0,6,1.0
7,0,7,2.5
8,0,8,1.5
9,0,9,1.0
10,0,10,1.0
11,0,11,2.5
12,0,12,2.5
13,0,13,3.0
14,0,14,2.5
15,0,15,1.5
16,0,16,2.5
17,0,17,1.0
18,0,18,1.5
19,0,19,1.0
20,0,20,3.0
21,0,21,1.5
22,0,22,1.5
23,0,23,1.0
24,0,24,1.0
25,0,25,1.5
26,0,26,1.5
27,0,27,1.0
28,0,28,3.0
29,0,29,3.0
30,0,30,3.0
31,0,31,3.0
32,0,32,1.0
33,1,33,2.5
34,1,34,2.5
35,1,35,4.0
36,1,36,1.5
37,1,37,2.5
38,1,4,2.5
39,1,38,3.0
40,1,39,1.5
41,1,40,2.5
42,1,41,3.0
43,1,42,2.5
44,1,43,1.5
45,1,44,1.0
46,1,45,1.5
47,1,46,2.5
48,1,47,3.0
49,1,48,3.0
50,1,49,3.5
51,1,50,2.5
52,1,51,1.0
53,1,52,3.0
54,1,53,1.5
55,1,54,2.0
56,1,55,1.0
57,1,56,1.5
58,1,57,2.0
59,1,58,4.0
60,1,59,2.0
61,1,60,3.0
62,1,61,3.0
63,1,62,3.0
64,1,63,4.0
65,1,64,4.0
66,1,65,4.0
67,2,66,2.0
68,2,67,2.0
69,2,68,1.0
70,2,69,1.0
71,2,70,2.5
72,2,71,2.0
73,2,4,2.0
74,2,72,2.0
75,2,73,2.0
76,2,74,1.0
77,2,75,1.0
78,2,76,2.0
79,2,77,2.0
80,2,78,2.0
81,2,79,1.0
82,2,80,1.0
83,2,81,3.0
84,2,82,3.0
85,2,83,3.0
86,2,84,1.0
87,2,85,2.0
88,2,86,1.0
89,2,87,2.0
90,2,88,2.0
91,2,89,2.0
92,2,90,1.0
93,2,91,3.0
94,2,92,1.0
95,2,93,1.0
96,2,59,1.0
97,2,94,2.0
98,2,95,3.0
99,2,96,3.0
100,2,97,1.0
101,3,98,3.5
102,3,99,2.5
103,3,100,3.0
104,3,101,1.5
105,3,73,1.0
106,3,102,1.5
107,3,103,1.0
108,3,104,1.0
109,3,105,1.0
110,3,106,1.0
111,3,107,3.0
112,3,14,2.5
113,3,108,2.5
